timestep,lad_uk_2016,gva_per_sector
2015,E06000001,1299.4224238034506
2015,E06000002,2517.3597857199825
2015,E06000003,1593.742601160698
2015,E06000004,3739.526623018716
2015,E06000005,2110.785951601429
2015,E06000006,3145.951195541774
2015,E06000007,5924.438925031841
2015,E06000008,2684.5155825590623
2015,E06000009,2214.546219823935
2015,E06000010,5502.566683045729
2015,E06000011,5843.509599830341
2015,E06000012,2880.944989815764
2015,E06000013,3349.895776303487
2015,E06000014,4074.782033328041
2015,E06000015,5545.608195225853
2015,E06000016,6953.835981012257
2015,E06000017,678.8965213979089
2015,E06000018,8535.55480700886
2015,E06000019,3770.7991226788586
2015,E06000020,3647.899757488487
2015,E06000021,4822.783977802408
2015,E06000022,4170.808640992258
2015,E06000023,13344.33548697432
2015,E06000024,4354.506904087002
2015,E06000025,6872.129033977752
2015,E06000026,4443.294871422238
2015,E06000027,1997.8926922047162
2015,E06000028,3948.4976047899545
2015,E06000029,3603.7280827369473
2015,E06000030,6536.66063257791
2015,E06000031,5078.648443981971
2015,E06000032,5296.905351839253
2015,E06000033,2859.1916077117644
2015,E06000034,2909.487851339836
2015,E06000035,4755.805810531347
2015,E06000036,3885.401043058963
2015,E06000037,6220.724000323434
2015,E06000038,6499.130139120079
2015,E06000039,5253.935021828035
2015,E06000040,4827.722698373711
2015,E06000041,5380.475686053037
2015,E06000042,10206.344295133202
2015,E06000043,7548.493104671539
2015,E06000044,5636.507651048902
2015,E06000045,6160.944196412966
2015,E06000046,2625.446150110564
2015,E06000047,7732.13173489439
2015,E06000049,11146.629773765377
2015,E06000050,8244.920127543184
2015,E06000051,5518.835891347154
2015,E06000052,8607.139419120313
2015,E06000053,47.80498723818988
2015,E06000054,9908.846122582432
2015,E06000055,3876.3004003045257
2015,E06000056,5245.843090802382
2015,E06000057,4690.263276195217
2015,E07000004,4948.993792984421
2015,E07000005,2439.7195592181392
2015,E07000006,2271.1456453789006
2015,E07000007,5146.876383183653
2015,E07000008,4534.298332740617
2015,E07000009,1666.7753746883009
2015,E07000010,1784.13129849657
2015,E07000011,3537.4058125666193
2015,E07000012,4564.531229485292
2015,E07000026,1622.8917393219022
2015,E07000027,1505.0479559731434
2015,E07000028,2278.3440624247573
2015,E07000029,1757.9466949339887
2015,E07000030,1082.4240041730359
2015,E07000031,2166.064138811244
2015,E07000032,2225.8899713697774
2015,E07000033,1200.2023685334063
2015,E07000034,2041.7143683869442
2015,E07000035,1567.1635228203631
2015,E07000036,1747.1728519618646
2015,E07000037,1478.3187104971312
2015,E07000038,1203.9160398549536
2015,E07000039,2079.5952316551316
2015,E07000040,1997.7350303253352
2015,E07000041,4098.030380456158
2015,E07000042,1237.2557927450803
2015,E07000043,2212.8912646101194
2015,E07000044,1614.322826511134
2015,E07000045,2034.278881105068
2015,E07000046,905.8755855569198
2015,E07000047,760.6271119289852
2015,E07000048,852.3802721465039
2015,E07000049,1385.0264667468346
2015,E07000050,1126.6658549599044
2015,E07000051,790.3293907531527
2015,E07000052,2310.407103494627
2015,E07000053,747.9331559019413
2015,E07000061,2013.4392694206613
2015,E07000062,1776.5804757705346
2015,E07000063,1846.624664069343
2015,E07000064,1478.387785979368
2015,E07000065,2904.315340746357
2015,E07000066,3901.5585766078466
2015,E07000067,2832.001592341666
2015,E07000068,1883.113607117953
2015,E07000069,919.3266586169757
2015,E07000070,4147.254588926797
2015,E07000071,3796.52957822747
2015,E07000072,2549.2359495533483
2015,E07000073,1772.8142694454905
2015,E07000074,954.603531283671
2015,E07000075,1261.8772294316163
2015,E07000076,1796.2278115892025
2015,E07000077,2242.8649512342786
2015,E07000078,2851.425628874261
2015,E07000079,2052.1812523059116
2015,E07000080,1167.7107992025865
2015,E07000081,3294.4073051700375
2015,E07000082,2678.9547522183343
2015,E07000083,2285.3373840630325
2015,E07000084,4380.131624711059
2015,E07000085,2346.014289717426
2015,E07000086,3608.624145894934
2015,E07000087,2418.4194849690316
2015,E07000088,1109.9694070458354
2015,E07000089,2029.9249727456559
2015,E07000090,2177.6620951135546
2015,E07000091,3751.9350733772017
2015,E07000092,2711.6598915195873
2015,E07000093,2797.9921233380815
2015,E07000094,3950.724776596754
2015,E07000095,1772.360843710268
2015,E07000096,3525.01511797757
2015,E07000098,2958.1482042153293
2015,E07000099,2739.759085075106
2015,E07000102,2352.4747729698274
2015,E07000103,4044.338373229428
2015,E07000105,2775.068312567878
2015,E07000106,3093.2020941098854
2015,E07000107,2389.036275062681
2015,E07000108,2149.2695120239036
2015,E07000109,1609.8971103343274
2015,E07000110,3539.706234252846
2015,E07000111,2745.6651768163965
2015,E07000112,1878.3139972328704
2015,E07000113,2369.33995565116
2015,E07000114,2150.379245033102
2015,E07000115,2672.896183961547
2015,E07000116,2593.4187890558837
2015,E07000117,1631.814601943536
2015,E07000118,1685.9008438552535
2015,E07000119,2124.8656842328337
2015,E07000120,1368.757799035343
2015,E07000121,2465.6711884837036
2015,E07000122,1460.2856719506997
2015,E07000123,3303.370648222744
2015,E07000124,1315.4429897471414
2015,E07000125,858.585225079904
2015,E07000126,2465.4646790299666
2015,E07000127,2029.795718295082
2015,E07000128,1479.7428492930637
2015,E07000129,2863.7085275677423
2015,E07000130,2663.669075767659
2015,E07000131,1739.2118882971577
2015,E07000132,2082.66030491619
2015,E07000133,965.3540922439123
2015,E07000134,2679.346467972032
2015,E07000135,797.9015069359217
2015,E07000136,1313.1270495833141
2015,E07000137,1908.2427199735123
2015,E07000138,2172.7850789432946
2015,E07000139,1794.7208053724714
2015,E07000140,1538.8322584321206
2015,E07000141,2573.3650279481303
2015,E07000142,1287.500475026838
2015,E07000143,2311.0105715018212
2015,E07000144,2562.1624985535113
2015,E07000145,1602.168837893482
2015,E07000146,2824.673441813856
2015,E07000147,1667.9210688413866
2015,E07000148,4005.890282273127
2015,E07000149,2545.447681885326
2015,E07000150,1438.1085713741268
2015,E07000151,1724.8719088479913
2015,E07000152,1301.8404954749608
2015,E07000153,1984.7078820343922
2015,E07000154,5637.820919761882
2015,E07000155,1636.055283839475
2015,E07000156,1518.922203665948
2015,E07000163,1359.2712796521341
2015,E07000164,1865.4927589193146
2015,E07000165,3145.442059088315
2015,E07000166,832.776431496904
2015,E07000167,1078.932731581626
2015,E07000168,1691.652227966007
2015,E07000169,1666.6341467461432
2015,E07000170,2551.417822798002
2015,E07000171,2170.1656777062776
2015,E07000172,1924.6097799327315
2015,E07000173,1541.632822503788
2015,E07000174,1647.303574945504
2015,E07000175,2188.1015954959976
