timestep,dwellings,lad16nm,lad_uk_2016
2006,43929.42999999999,,E07000187
2006,45963.349,,E07000188
2006,66891.26099999994,,E07000189
2006,44132.27899999999,,E07000190
2006,15370.375999999997,,E07000191
2006,38766.229999999996,,E07000192
2006,45188.191000000035,,E07000193
2006,40146.95900000002,,E07000194
2006,51113.382,,E07000195
2006,44448.207999999955,,E07000196
2006,53478.18599999999,,E07000197
2006,40729.37299999998,,E07000198
2006,30498.241000000016,,E07000199
2006,36138.391999999956,,E07000200
2006,26415.29600000006,,E07000201
2006,53726.092999999986,,E07000202
2006,37738.52500000004,,E07000203
2006,44784.388000000035,,E07000204
2006,52341.06899999999,,E07000205
2006,49912.06099999999,,E07000206
2006,51951.485000000015,,E07000207
2006,28751.730999999992,,E07000208
2006,52504.09300000004,,E07000209
2006,34418.48099999997,,E07000210
2006,52864.13700000003,,E07000211
2006,31190.689,,E07000212
2006,37940.55799999995,,E07000213
2006,32859.357999999935,,E07000214
2006,32018.216999999946,,E07000215
2006,48906.864999999925,,E07000216
2006,39217.83899999996,,E07000217
2006,25090.736000000004,,E07000218
2006,50872.271000000015,,E07000219
2006,40551.83699999997,,E07000220
2006,50557.83200000006,,E07000221
2006,57131.829999999965,,E07000222
2006,25851.75,,E07000223
2006,63703.59700000007,,E07000224
2006,47494.80300000003,,E07000225
2006,39720.915000000015,,E07000226
2006,53232.87399999998,,E07000227
2006,55275.43900000001,,E07000228
2006,44959.726000000024,,E07000229
2006,36743.728999999956,,E07000234
2006,30973.55500000001,,E07000235
2006,34191.12699999998,,E07000236
2006,39834.615000000005,,E07000237
2006,47489.29999999999,,E07000238
2006,42144.42000000001,,E07000239
2006,54245.32100000005,,E07000240
2006,42562.10999999994,,E07000241
2006,53119.12499999995,,E07000242
2006,33076.81,,E07000243
2006,112829.919,,E08000001
2006,75361.155,,E08000002
2006,192095.78399999999,,E08000003
2006,88054.57400000008,,E08000004
2006,86157.71299999996,,E08000005
2006,96799.11699999993,,E08000006
2006,119460.63,,E08000007
2006,92066.26599999992,,E08000008
2006,91801.76200000006,,E08000009
2006,131629.9430000001,,E08000010
2006,60300.72799999992,,E08000011
2006,194206.7730000001,,E08000012
2006,72613.756,,E08000013
2006,116241.3530000001,,E08000014
2006,137930.14599999986,,E08000015
2006,95552.30199999995,,E08000016
2006,124147.3790000001,,E08000017
2006,106249.35200000004,,E08000018
2006,219793.5480000003,,E08000019
2006,112974.63400000002,,E08000021
2006,88585.04400000001,,E08000022
2006,65328.00799999999,,E08000023
2006,117877.52100000001,,E08000024
2006,396943.2610000003,,E08000025
2006,118805.38900000011,,E08000026
2006,126931.29300000009,,E08000027
2006,118392.22699999998,,E08000028
2006,84189.32300000003,,E08000029
2006,104294.19899999995,,E08000030
2006,98744.72199999995,,E08000031
2006,195381.2329999999,,E08000032
2006,84617.28,,E08000033
2006,168865.83900000007,,E08000034
2006,309265.99200000026,,E08000035
2006,135484.06200000003,,E08000036
2006,88113.50099999996,,E08000037
2006,6045.666999999993,,E09000001
2006,65615.62699999996,,E09000002
2006,126527.82200000004,,E09000003
2006,90827.07700000002,,E09000004
2006,106170.80700000007,,E09000005
2006,124595.4599999999,,E09000006
2006,91058.62700000012,,E09000007
2006,137463.20999999996,,E09000008
2006,122995.01200000008,,E09000009
2006,113212.745,,E09000010
2006,95963.40999999986,,E09000011
2006,89295.75699999998,,E09000012
2006,79512.76399999998,,E09000013
2006,97063.51600000009,,E09000014
2006,83470.98399999992,,E09000015
2006,94056.913,,E09000016
2006,93489.94499999992,,E09000017
2006,89114.13599999985,,E09000018
2006,81823.34900000013,,E09000019
2006,80343.09700000005,,E09000020
2006,59707.36100000003,,E09000021
2006,119051.53399999999,,E09000022
2006,106883.54699999995,,E09000023
2006,76576.09899999986,,E09000024
2006,95543.34499999991,,E09000025
2006,95175.64400000006,,E09000026
2006,77016.09600000008,,E09000027
2006,110368.64899999974,,E09000028
2006,74472.95299999998,,E09000029
2006,84857.26299999986,,E09000030
2006,93968.31699999998,,E09000031
2006,126771.22400000002,,E09000032
2006,99582.75200000001,,E09000033
2006,30465.213757000027,,W06000001
2006,51013.848307999964,,W06000002
2006,50807.74645399999,,W06000003
2006,40325.79530299997,,W06000004
2006,62415.83494899999,,W06000005
2006,55200.47421999989,,W06000006
2006,30346.4088179999,,W06000008
2006,52478.55862599983,,W06000009
2006,77678.47006300002,,W06000010
2006,99530.92878799987,,W06000011
2006,59553.328877999964,,W06000012
2006,57401.43261500004,,W06000013
2006,52670.161072999974,,W06000014
2006,134269.28966399992,,W06000015
2006,97666.32739399989,,W06000016
2006,73295.60435799992,,W06000018
2006,30154.635618999993,,W06000019
2006,38046.95814199992,,W06000020
2006,37616.389651000085,,W06000021
2006,59632.923294999884,,W06000022
2006,57756.52401600003,,W06000023
2006,24137.49193800002,,W06000024
2006,19885.0,,S12000005
2006,66202.0,,S12000006
2006,53551.0,,S12000008
2006,39237.0,,S12000010
2006,35371.0,,S12000011
2006,14432.0,,S12000013
2006,63721.0,,S12000014
2006,141098.0,,S12000015
2006,100142.0,,S12000017
2006,36891.0,,S12000018
2006,29814.0,,S12000019
2006,38850.0,,S12000020
2006,60226.0,,S12000021
2006,8964.0,,S12000023
2006,61902.0,,S12000024
2006,48669.0,,S12000026
2006,9679.0,,S12000027
2006,50103.0,,S12000028
2006,133807.0,,S12000029
2006,35622.0,,S12000030
2006,97838.0,,S12000033
2006,103803.0,,S12000034
2006,36866.0,,S12000035
2006,211536.0,,S12000036
2006,74971.0,,S12000038
2006,41757.0,,S12000039
2006,70029.0,,S12000040
2006,50329.0,,S12000041
2006,65484.0,,S12000042
2006,142423.0,,S12000044
2006,36772.0,,S12000045
2006,272199.0,,S12000046
2006,51505.0,,N09000001
2006,71998.0,,N09000002
2006,142876.0,,N09000003
2006,52632.0,,N09000004
2006,55864.0,,N09000005
2006,40186.0,,N09000006
2006,50319.0,,N09000007
2006,54371.0,,N09000008
2006,45798.0,,N09000009
2006,59610.0,,N09000010
2006,63408.0,,N09000011
2007,39210.035999999964,,E06000001
2007,56558.808000000005,,E06000002
2007,58026.958999999995,,E06000003
2007,76969.22299999995,,E06000004
2007,45814.61600000004,,E06000005
2007,51900.297,,E06000006
2007,82019.24700000003,,E06000007
2007,56732.049000000006,,E06000008
2007,64294.46400000002,,E06000009
2007,110050.53400000001,,E06000010
2007,140776.81100000002,,E06000011
2007,68795.41999999997,,E06000012
2007,68551.867,,E06000013
2007,81377.36300000001,,E06000014
2007,100046.128,,E06000015
2007,122515.0320000001,,E06000016
2007,15863.611000000004,,E06000017
2007,122126.33899999989,,E06000018
2007,75500.484,,E06000019
2007,65031.229999999996,,E06000020
2007,105403.72900000006,,E06000021
2007,71870.39000000001,,E06000022
2007,175653.59500000012,,E06000023
2007,84853.89100000015,,E06000024
2007,101674.002,,E06000025
2007,108684.23900000003,,E06000026
2007,58093.06500000002,,E06000027
2007,77622.38999999998,,E06000028
2007,62361.454999999994,,E06000029
2007,84047.09699999992,,E06000030
2007,73574.91799999999,,E06000033
2007,60482.28300000001,,E06000034
2007,100754.51300000011,,E06000035
2007,43170.73599999999,,E06000036
2007,60353.50599999998,,E06000037
2007,60060.683000000005,,E06000038
2007,48798.29500000003,,E06000039
2007,56987.78799999993,,E06000040
2007,58059.517999999975,,E06000041
2007,116974.64599999995,,E06000043
2007,83511.49599999996,,E06000044
2007,95752.96300000005,,E06000045
2007,59627.52399999995,,E06000046
2007,218515.39500000005,,E06000047
2007,154641.55899999992,,E06000049
2007,138532.059,,E06000050
2007,125846.78600000002,,E06000051
2007,223236.98400000005,,E06000052
2007,920.8449999999991,,E06000053
2007,187479.25999999983,,E06000054
2007,136377.33100000012,,E06000057
2007,47621.87700000001,,E07000008
2007,32614.59000000001,,E07000009
2007,66632.63300000006,,E07000011
2007,57510.66199999995,,E07000012
2007,41946.29000000002,,E07000026
2007,31190.556000000004,,E07000027
2007,47110.81100000003,,E07000028
2007,30809.27300000003,,E07000029
2007,22395.661000000007,,E07000030
2007,46224.59199999999,,E07000031
2007,51495.42400000001,,E07000032
2007,31746.892999999982,,E07000033
2007,45920.99599999996,,E07000034
2007,29912.208999999966,,E07000035
2007,46916.62399999998,,E07000036
2007,37835.213999999985,,E07000037
2007,42130.477999999996,,E07000038
2007,36505.245,,E07000039
2007,57605.48300000008,,E07000040
2007,46223.363000000005,,E07000041
2007,31681.25600000001,,E07000042
2007,39622.59800000003,,E07000043
2007,36140.543999999965,,E07000044
2007,52117.020999999986,,E07000045
2007,26746.34900000001,,E07000046
2007,21936.669,,E07000047
2007,21474.179999999986,,E07000048
2007,36682.248999999996,,E07000049
2007,27805.395999999993,,E07000050
2007,19437.99700000001,,E07000051
2007,43439.92999999998,,E07000052
2007,28101.070000000014,,E07000053
2007,43659.30499999999,,E07000061
2007,40116.53700000003,,E07000062
2007,40594.293999999994,,E07000063
2007,40357.82900000001,,E07000064
2007,59217.826000000015,,E07000065
2007,70470.88500000002,,E07000066
2007,58677.411000000066,,E07000067
2007,30109.132000000012,,E07000068
2007,36024.407999999996,,E07000069
2007,67366.30600000003,,E07000070
2007,67177.684,,E07000071
2007,50441.63500000002,,E07000072
2007,33740.79500000001,,E07000073
2007,25264.98900000003,,E07000074
2007,32793.25600000002,,E07000075
2007,61057.18600000007,,E07000076
2007,29188.234000000004,,E07000077
2007,49685.97499999998,,E07000078
2007,35127.138000000035,,E07000079
2007,33260.84500000002,,E07000080
2007,47549.249999999985,,E07000081
2007,46625.34199999999,,E07000082
2007,33524.90299999995,,E07000083
2007,65235.443999999974,,E07000084
2007,45996.97399999997,,E07000085
2007,50297.04400000002,,E07000086
2007,45048.80700000004,,E07000087
2007,33815.09299999999,,E07000088
2007,34441.659,,E07000089
2007,49994.80200000003,,E07000090
2007,74996.7779999999,,E07000091
2007,34906.052000000054,,E07000092
2007,46069.584000000046,,E07000093
2007,45058.72299999999,,E07000094
2007,35909.70499999996,,E07000095
2007,57473.42000000001,,E07000096
2007,39139.64799999997,,E07000098
2007,51722.90699999997,,E07000099
2007,33890.74400000005,,E07000102
2007,34038.12299999995,,E07000103
2007,44451.086000000025,,E07000105
2007,57566.90400000004,,E07000106
2007,37820.24100000001,,E07000107
2007,47688.77500000001,,E07000108
2007,38825.70799999999,,E07000109
2007,60765.57400000002,,E07000110
2007,45471.539999999986,,E07000111
2007,45771.83299999999,,E07000112
2007,52705.77500000004,,E07000113
2007,56757.93900000001,,E07000114
2007,46108.834,,E07000115
2007,45288.616999999955,,E07000116
2007,37158.413,,E07000117
2007,42403.065999999984,,E07000118
2007,34490.155,,E07000119
2007,34064.895,,E07000120
2007,56510.979000000065,,E07000121
2007,36791.50399999996,,E07000122
2007,56500.178,,E07000123
2007,23238.17199999999,,E07000124
2007,28326.015000000007,,E07000125
2007,45476.96899999998,,E07000126
2007,44979.76599999999,,E07000127
2007,46955.79099999998,,E07000128
2007,37172.34900000003,,E07000129
2007,63135.31199999995,,E07000130
2007,33797.22700000004,,E07000131
2007,43707.79199999999,,E07000132
2007,20883.086000000018,,E07000133
2007,38401.69200000004,,E07000134
2007,21354.219999999987,,E07000135
2007,26918.691999999974,,E07000136
2007,60233.08200000004,,E07000137
2007,37823.384000000005,,E07000138
2007,43984.827,,E07000139
2007,36997.944,,E07000140
2007,54744.55199999997,,E07000141
2007,36734.420000000035,,E07000142
2007,52760.815000000024,,E07000143
2007,52158.95899999996,,E07000144
2007,41479.13099999998,,E07000145
2007,62146.63300000005,,E07000146
2007,45186.39199999999,,E07000147
2007,57656.715000000026,,E07000148
2007,50011.96499999997,,E07000149
2007,24121.85799999998,,E07000163
2007,37309.13600000001,,E07000164
2007,65285.773000000016,,E07000165
2007,18972.87699999997,,E07000166
2007,21785.931000000004,,E07000167
2007,48861.64500000009,,E07000168
2007,33069.191000000006,,E07000169
2007,49438.52300000001,,E07000170
2007,46700.208,,E07000171
2007,45688.169999999925,,E07000172
2007,48343.89600000002,,E07000173
2007,43892.107,,E07000174
2007,47269.83100000002,,E07000175
2007,45044.95399999996,,E07000176
2007,44351.952999999994,,E07000187
2007,46519.421,,E07000188
2007,67437.24099999995,,E07000189
2007,44668.61099999999,,E07000190
2007,15407.039999999997,,E07000191
2007,39119.291,,E07000192
2007,45569.39400000003,,E07000193
2007,40370.426000000014,,E07000194
2007,51377.916,,E07000195
2007,44468.554999999964,,E07000196
2007,53894.33799999999,,E07000197
2007,40933.00499999998,,E07000198
2007,30690.387000000013,,E07000199
2007,36405.42799999996,,E07000200
2007,26163.47300000005,,E07000201
2007,54339.28099999999,,E07000202
2007,38251.01000000003,,E07000203
2007,44984.35600000003,,E07000204
2007,52592.80099999999,,E07000205
2007,50079.48399999999,,E07000206
2007,52126.09800000001,,E07000207
2007,28948.647999999994,,E07000208
2007,52753.47800000003,,E07000209
2007,34698.470999999976,,E07000210
2007,53353.588000000025,,E07000211
2007,31455.657,,E07000212
2007,38245.07699999996,,E07000213
2007,32989.57699999995,,E07000214
2007,32281.480999999956,,E07000215
2007,48969.64699999994,,E07000216
2007,39234.33899999997,,E07000217
2007,25227.680000000004,,E07000218
2007,51193.97300000001,,E07000219
2007,40802.02799999998,,E07000220
2007,50838.51300000005,,E07000221
2007,57391.93799999997,,E07000222
2007,26068.661,,E07000223
2007,64301.677000000054,,E07000224
2007,47965.224000000024,,E07000225
2007,40278.13400000001,,E07000226
2007,53562.25699999998,,E07000227
2007,55694.35500000001,,E07000228
2007,45349.67000000002,,E07000229
2007,37044.17599999996,,E07000234
2007,31217.56300000001,,E07000235
2007,34250.18099999998,,E07000236
2007,40213.454000000005,,E07000237
2007,47884.20599999999,,E07000238
2007,42296.94600000001,,E07000239
2007,54588.08000000004,,E07000240
2007,42761.22999999995,,E07000241
2007,53788.53099999996,,E07000242
2007,33409.689,,E07000243
2007,113407.234,,E08000001
2007,75848.462,,E08000002
2007,194169.341,,E08000003
2007,88299.85000000006,,E08000004
2007,86336.23399999997,,E08000005
2007,97965.17399999994,,E08000006
2007,119831.202,,E08000007
2007,92539.83799999993,,E08000008
2007,92250.15300000005,,E08000009
2007,132474.46900000007,,E08000010
2007,60452.67299999994,,E08000011
2007,196329.16600000008,,E08000012
2007,73181.385,,E08000013
2007,116543.67800000009,,E08000014
2007,138352.4289999999,,E08000015
2007,96512.20999999996,,E08000016
2007,124473.14700000008,,E08000017
2007,106583.85000000003,,E08000018
2007,221560.76500000025,,E08000019
2007,113609.21600000001,,E08000021
2007,89045.494,,E08000022
2007,65631.14499999999,,E08000023
2007,118134.32800000001,,E08000024
2007,399108.53200000024,,E08000025
2007,120554.36100000009,,E08000026
2007,127427.05000000008,,E08000027
2007,118888.48199999999,,E08000028
2007,84520.70400000003,,E08000029
2007,104880.45899999996,,E08000030
2007,99287.08799999996,,E08000031
2007,195860.4869999999,,E08000032
2007,85327.06,,E08000033
2007,169631.39700000006,,E08000034
2007,310989.0120000002,,E08000035
2007,136324.22300000003,,E08000036
2007,88206.69999999997,,E08000037
2007,5655.203999999994,,E09000001
2007,66377.47699999997,,E09000002
2007,128322.48300000004,,E09000003
2007,91171.91700000002,,E09000004
2007,106956.65200000006,,E09000005
2007,125776.91899999992,,E09000006
2007,92147.0100000001,,E09000007
2007,138867.46499999997,,E09000008
2007,123125.23600000006,,E09000009
2007,114485.264,,E09000010
2007,96884.75399999988,,E09000011
2007,91626.32999999999,,E09000012
2007,79555.93499999998,,E09000013
2007,97950.78100000008,,E09000014
2007,83686.67699999994,,E09000015
2007,94672.223,,E09000016
2007,94847.29399999994,,E09000017
2007,90230.50699999988,,E09000018
2007,83999.90300000011,,E09000019
2007,79735.73500000004,,E09000020
2007,60410.70400000003,,E09000021
2007,121067.51999999999,,E09000022
2007,108578.93599999996,,E09000023
2007,76921.86699999988,,E09000024
2007,96833.50099999993,,E09000025
2007,96027.25500000005,,E09000026
2007,77489.38400000006,,E09000027
2007,112126.85399999979,,E09000028
2007,75175.82499999998,,E09000029
2007,88038.12199999989,,E09000030
2007,94544.42399999998,,E09000031
2007,127288.21300000002,,E09000032
2007,100652.35800000001,,E09000033
2007,30527.412058000024,,W06000001
2007,51274.97132399997,,W06000002
2007,50950.712564999994,,W06000003
2007,40435.19952099997,,W06000004
2007,62725.96352099999,,W06000005
2007,55591.5750779999,,W06000006
2007,30507.877955999913,,W06000008
2007,52695.78465599985,,W06000009
2007,77951.42640400001,,W06000010
2007,100289.71081599989,,W06000011
2007,59725.07433199997,,W06000012
2007,57703.79339400004,,W06000013
2007,52920.127550999976,,W06000014
2007,135933.38335399993,,W06000015
2007,98198.2579699999,,W06000016
2007,73576.34771999993,,W06000018
2007,30219.023936999994,,W06000019
2007,38172.44849799993,,W06000020
2007,37788.583377000075,,W06000021
2007,59943.2607869999,,W06000022
2007,57907.76957600003,,W06000023
2007,24172.69851500002,,W06000024
2007,20054.0,,S12000005
2007,66502.0,,S12000006
2007,53671.0,,S12000008
2007,39788.0,,S12000010
2007,35692.0,,S12000011
2007,14284.0,,S12000013
2007,64456.0,,S12000014
2007,142272.0,,S12000015
2007,100885.0,,S12000017
2007,36960.0,,S12000018
2007,30609.0,,S12000019
2007,39161.0,,S12000020
2007,60547.0,,S12000021
2007,9093.0,,S12000023
2007,62422.0,,S12000024
2007,49181.0,,S12000026
2007,9739.0,,S12000027
2007,50285.0,,S12000028
2007,134841.0,,S12000029
2007,35955.0,,S12000030
2007,98729.0,,S12000033
2007,104452.0,,S12000034
2007,37283.0,,S12000035
2007,213521.0,,S12000036
2007,75877.0,,S12000038
2007,41847.0,,S12000039
2007,70773.0,,S12000040
2007,50629.0,,S12000041
2007,65899.0,,S12000042
2007,143217.0,,S12000044
2007,37106.0,,S12000045
2007,273919.0,,S12000046
2007,51870.0,,N09000001
2007,72723.0,,N09000002
2007,142938.0,,N09000003
2007,52892.0,,N09000004
2007,56032.0,,N09000005
2007,40453.0,,N09000006
2007,50816.0,,N09000007
2007,54498.0,,N09000008
2007,46233.0,,N09000009
2007,60111.0,,N09000010
2007,63657.0,,N09000011
2008,39445.51499999997,,E06000001
2008,56607.787000000004,,E06000002
2008,58336.219,,E06000003
2008,77427.13099999996,,E06000004
2008,45942.98300000003,,E06000005
2008,52179.316,,E06000006
2008,82731.91200000003,,E06000007
2008,56784.073000000004,,E06000008
2008,64227.95000000002,,E06000009
2008,110394.14600000001,,E06000010
2008,141350.874,,E06000011
2008,68924.78499999997,,E06000012
2008,69004.454,,E06000013
2008,81806.26400000001,,E06000014
2008,100387.518,,E06000015
2008,122358.99300000007,,E06000016
2008,15665.240000000003,,E06000017
2008,122648.64899999992,,E06000018
2008,76173.469,,E06000019
2008,65340.81,,E06000020
2008,105707.72100000005,,E06000021
2008,72175.89300000001,,E06000022
2008,176973.6650000001,,E06000023
2008,85664.33700000012,,E06000024
2008,103074.487,,E06000025
2008,108677.10500000003,,E06000026
2008,58282.65100000001,,E06000027
2008,78727.40199999999,,E06000028
2008,62637.570999999996,,E06000029
2008,84981.05999999994,,E06000030
2008,73776.752,,E06000033
2008,60888.30500000001,,E06000034
2008,102044.69300000009,,E06000035
2008,43803.76499999999,,E06000036
2008,60790.601999999984,,E06000037
2008,60563.982,,E06000038
2008,49214.91300000002,,E06000039
2008,57301.44899999994,,E06000040
2008,58617.64299999998,,E06000041
2008,117832.22899999996,,E06000043
2008,83947.73699999996,,E06000044
2008,96046.18800000004,,E06000045
2008,59958.78099999996,,E06000046
2008,219569.95000000004,,E06000047
2008,155775.43499999994,,E06000049
2008,139125.896,,E06000050
2008,126829.09500000002,,E06000051
2008,224950.46600000004,,E06000052
2008,942.4529999999993,,E06000053
2008,189248.46299999987,,E06000054
2008,136839.6810000001,,E06000057
2008,47245.51900000001,,E07000008
2008,33101.09500000001,,E07000009
2008,67266.58800000005,,E07000011
2008,58142.83899999996,,E07000012
2008,42017.11100000002,,E07000026
2008,31147.353000000003,,E07000027
2008,47335.247000000025,,E07000028
2008,30720.012000000024,,E07000029
2008,22544.460000000006,,E07000030
2008,46301.51699999999,,E07000031
2008,51750.01400000001,,E07000032
2008,31982.946999999986,,E07000033
2008,46066.60599999997,,E07000034
2008,30114.748999999974,,E07000035
2008,47299.234999999986,,E07000036
2008,38083.67699999999,,E07000037
2008,42350.469,,E07000038
2008,37113.584,,E07000039
2008,58031.45200000006,,E07000040
2008,46854.558000000005,,E07000041
2008,31928.191000000006,,E07000042
2008,39711.67800000002,,E07000043
2008,36340.72399999997,,E07000044
2008,52572.90799999999,,E07000045
2008,27052.038000000008,,E07000046
2008,22130.146,,E07000047
2008,21488.69199999999,,E07000048
2008,36923.67,,E07000049
2008,28048.099999999995,,E07000050
2008,19488.93400000001,,E07000051
2008,43658.457999999984,,E07000052
2008,28183.00100000001,,E07000053
2008,43939.812999999995,,E07000061
2008,40281.120000000024,,E07000062
2008,40985.435,,E07000063
2008,40489.32100000001,,E07000064
2008,60101.01100000001,,E07000065
2008,70984.34900000002,,E07000066
2008,59237.16500000005,,E07000067
2008,30246.92200000001,,E07000068
2008,36143.522,,E07000069
2008,67879.63400000002,,E07000070
2008,68209.139,,E07000071
2008,50815.79500000001,,E07000072
2008,33905.90600000001,,E07000073
2008,25416.832000000024,,E07000074
2008,32990.51600000002,,E07000075
2008,61291.27500000005,,E07000076
2008,29752.214000000004,,E07000077
2008,49898.12799999998,,E07000078
2008,35403.10200000003,,E07000079
2008,33499.30400000002,,E07000080
2008,48168.13699999999,,E07000081
2008,46904.05099999999,,E07000082
2008,33922.90999999996,,E07000083
2008,66213.43799999998,,E07000084
2008,46315.32799999998,,E07000085
2008,50752.51600000002,,E07000086
2008,45454.92800000003,,E07000087
2008,34167.327999999994,,E07000088
2008,34725.824,,E07000089
2008,50288.66600000003,,E07000090
2008,75455.50399999993,,E07000091
2008,35258.79900000004,,E07000092
2008,46453.50200000004,,E07000093
2008,45495.28599999999,,E07000094
2008,36321.04999999997,,E07000095
2008,58052.06100000001,,E07000096
2008,39279.89599999998,,E07000098
2008,52107.11899999998,,E07000099
2008,34228.54800000004,,E07000102
2008,34646.05199999996,,E07000103
2008,45268.86100000002,,E07000105
2008,58288.24300000003,,E07000106
2008,38320.79000000001,,E07000107
2008,47800.49800000001,,E07000108
2008,39173.17999999999,,E07000109
2008,61419.328000000016,,E07000110
2008,45868.50099999999,,E07000111
2008,46161.687999999995,,E07000112
2008,53404.28800000003,,E07000113
2008,57376.13900000001,,E07000114
2008,46598.637,,E07000115
2008,45702.72899999996,,E07000116
2008,37176.22,,E07000117
2008,43037.60099999999,,E07000118
2008,34611.672,,E07000119
2008,34063.473,,E07000120
2008,56752.45300000005,,E07000121
2008,36888.96099999997,,E07000122
2008,56670.686,,E07000123
2008,23457.522999999994,,E07000124
2008,28478.743000000006,,E07000125
2008,45590.86399999999,,E07000126
2008,45065.78199999999,,E07000127
2008,47033.96999999999,,E07000128
2008,37535.99100000002,,E07000129
2008,63931.41399999996,,E07000130
2008,34088.59000000003,,E07000131
2008,44108.22099999999,,E07000132
2008,21022.566000000013,,E07000133
2008,38569.04600000003,,E07000134
2008,21337.64399999999,,E07000135
2008,26975.57999999998,,E07000136
2008,60389.85800000003,,E07000137
2008,38185.024000000005,,E07000138
2008,44502.67,,E07000139
2008,37067.046,,E07000140
2008,55361.604999999974,,E07000141
2008,37128.09400000003,,E07000142
2008,53201.05600000002,,E07000143
2008,52455.04099999997,,E07000144
2008,41606.28899999998,,E07000145
2008,62341.89300000004,,E07000146
2008,45397.971999999994,,E07000147
2008,58139.26300000002,,E07000148
2008,50715.201999999976,,E07000149
2008,24232.110999999983,,E07000163
2008,37550.74900000001,,E07000164
2008,65744.00300000001,,E07000165
2008,19395.783999999978,,E07000166
2008,21976.960000000003,,E07000167
2008,48964.67400000007,,E07000168
2008,33425.363000000005,,E07000169
2008,49743.49800000001,,E07000170
2008,46907.538,,E07000171
2008,45956.18199999994,,E07000172
2008,48555.82300000002,,E07000173
2008,44084.639,,E07000174
2008,47616.33400000002,,E07000175
2008,45221.83699999997,,E07000176
2008,44774.475999999995,,E07000187
2008,47075.493,,E07000188
2008,67983.22099999996,,E07000189
2008,45204.94299999999,,E07000190
2008,15443.703999999998,,E07000191
2008,39472.352,,E07000192
2008,45950.59700000002,,E07000193
2008,40593.89300000001,,E07000194
2008,51642.45,,E07000195
2008,44488.90199999997,,E07000196
2008,54310.48999999999,,E07000197
2008,41136.63699999999,,E07000198
2008,30882.53300000001,,E07000199
2008,36672.46399999997,,E07000200
2008,25911.650000000038,,E07000201
2008,54952.46899999999,,E07000202
2008,38763.495000000024,,E07000203
2008,45184.32400000002,,E07000204
2008,52844.532999999996,,E07000205
2008,50246.90699999999,,E07000206
2008,52300.71100000001,,E07000207
2008,29145.564999999995,,E07000208
2008,53002.86300000003,,E07000209
2008,34978.46099999998,,E07000210
2008,53843.03900000002,,E07000211
2008,31720.625,,E07000212
2008,38549.59599999997,,E07000213
2008,33119.79599999996,,E07000214
2008,32544.744999999966,,E07000215
2008,49032.42899999995,,E07000216
2008,39250.83899999998,,E07000217
2008,25364.624000000003,,E07000218
2008,51515.67500000001,,E07000219
2008,41052.21899999998,,E07000220
2008,51119.19400000004,,E07000221
2008,57652.04599999998,,E07000222
2008,26285.572,,E07000223
2008,64899.75700000004,,E07000224
2008,48435.64500000002,,E07000225
2008,40835.35300000001,,E07000226
2008,53891.639999999985,,E07000227
2008,56113.27100000001,,E07000228
2008,45739.614000000016,,E07000229
2008,37344.62299999997,,E07000234
2008,31461.571000000007,,E07000235
2008,34309.234999999986,,E07000236
2008,40592.293000000005,,E07000237
2008,48279.111999999994,,E07000238
2008,42449.47200000001,,E07000239
2008,54930.83900000003,,E07000240
2008,42960.34999999996,,E07000241
2008,54457.93699999997,,E07000242
2008,33742.568,,E07000243
2008,113984.549,,E08000001
2008,76335.769,,E08000002
2008,196242.898,,E08000003
2008,88545.12600000005,,E08000004
2008,86514.75499999998,,E08000005
2008,99131.23099999996,,E08000006
2008,120201.774,,E08000007
2008,93013.40999999995,,E08000008
2008,92698.54400000004,,E08000009
2008,133318.99500000005,,E08000010
2008,60604.61799999995,,E08000011
2008,198451.55900000007,,E08000012
2008,73749.014,,E08000013
2008,116846.00300000007,,E08000014
2008,138774.7119999999,,E08000015
2008,97472.11799999997,,E08000016
2008,124798.91500000007,,E08000017
2008,106918.34800000003,,E08000018
2008,223327.9820000002,,E08000019
2008,114243.79800000001,,E08000021
2008,89505.944,,E08000022
2008,65934.28199999999,,E08000023
2008,118391.13500000001,,E08000024
2008,401273.8030000002,,E08000025
2008,122303.33300000007,,E08000026
2008,127922.80700000006,,E08000027
2008,119384.737,,E08000028
2008,84852.08500000002,,E08000029
2008,105466.71899999997,,E08000030
2008,99829.45399999997,,E08000031
2008,196339.74099999992,,E08000032
2008,86036.84,,E08000033
2008,170396.95500000005,,E08000034
2008,312712.0320000002,,E08000035
2008,137164.38400000002,,E08000036
2008,88299.89899999998,,E08000037
2008,5264.740999999995,,E09000001
2008,67139.32699999998,,E09000002
2008,130117.14400000003,,E09000003
2008,91516.75700000001,,E09000004
2008,107742.49700000005,,E09000005
2008,126958.37799999994,,E09000006
2008,93235.39300000007,,E09000007
2008,140271.71999999997,,E09000008
2008,123255.46000000005,,E09000009
2008,115757.783,,E09000010
2008,97806.09799999991,,E09000011
2008,93956.90299999999,,E09000012
2008,79599.10599999999,,E09000013
2008,98838.04600000006,,E09000014
2008,83902.36999999995,,E09000015
2008,95287.533,,E09000016
2008,96204.64299999995,,E09000017
2008,91346.87799999991,,E09000018
2008,86176.45700000008,,E09000019
2008,79128.37300000004,,E09000020
2008,61114.04700000002,,E09000021
2008,123083.506,,E09000022
2008,110274.32499999997,,E09000023
2008,77267.63499999991,,E09000024
2008,98123.65699999995,,E09000025
2008,96878.86600000004,,E09000026
