timestep,dwellings,lad16nm,lad_uk_2016
2042,70834.0,Vale of White Horse,E07000180
2043,71473.0,Vale of White Horse,E07000180
2044,72112.0,Vale of White Horse,E07000180
2045,72751.0,Vale of White Horse,E07000180
2046,73390.0,Vale of White Horse,E07000180
2047,74029.0,Vale of White Horse,E07000180
2048,74668.0,Vale of White Horse,E07000180
2049,75307.0,Vale of White Horse,E07000180
2050,75946.0,Vale of White Horse,E07000180
2004,41420.0,West Oxfordshire,E07000181
2005,42010.0,West Oxfordshire,E07000181
2006,42710.0,West Oxfordshire,E07000181
2007,43480.0,West Oxfordshire,E07000181
2008,44320.0,West Oxfordshire,E07000181
2009,44850.0,West Oxfordshire,E07000181
2010,45200.0,West Oxfordshire,E07000181
2011,45580.0,West Oxfordshire,E07000181
2012,45940.0,West Oxfordshire,E07000181
2013,46220.0,West Oxfordshire,E07000181
2014,46400.0,West Oxfordshire,E07000181
2015,46800.0,West Oxfordshire,E07000181
2016,47050.0,West Oxfordshire,E07000181
2017,47459.0,West Oxfordshire,E07000181
2018,47868.0,West Oxfordshire,E07000181
2019,48277.0,West Oxfordshire,E07000181
2020,48686.0,West Oxfordshire,E07000181
2021,49095.0,West Oxfordshire,E07000181
2022,49504.0,West Oxfordshire,E07000181
2023,49913.0,West Oxfordshire,E07000181
2024,50322.0,West Oxfordshire,E07000181
2025,50731.0,West Oxfordshire,E07000181
2026,51140.0,West Oxfordshire,E07000181
2027,51549.0,West Oxfordshire,E07000181
2028,51958.0,West Oxfordshire,E07000181
2029,52367.0,West Oxfordshire,E07000181
2030,52776.0,West Oxfordshire,E07000181
2031,53185.0,West Oxfordshire,E07000181
2032,53594.0,West Oxfordshire,E07000181
2033,54003.0,West Oxfordshire,E07000181
2034,54412.0,West Oxfordshire,E07000181
2035,54821.0,West Oxfordshire,E07000181
2036,55230.0,West Oxfordshire,E07000181
2037,55639.0,West Oxfordshire,E07000181
2038,56048.0,West Oxfordshire,E07000181
2039,56457.0,West Oxfordshire,E07000181
2040,56866.0,West Oxfordshire,E07000181
2041,57275.0,West Oxfordshire,E07000181
2042,57684.0,West Oxfordshire,E07000181
2043,58093.0,West Oxfordshire,E07000181
2044,58502.0,West Oxfordshire,E07000181
2045,58911.0,West Oxfordshire,E07000181
2046,59320.0,West Oxfordshire,E07000181
2047,59729.0,West Oxfordshire,E07000181
2048,60138.0,West Oxfordshire,E07000181
2049,60547.0,West Oxfordshire,E07000181
2050,60956.0,West Oxfordshire,E07000181
2004,67890.0,Aylesbury Vale,E07000004
2005,68400.0,Aylesbury Vale,E07000004
2006,68890.0,Aylesbury Vale,E07000004
2007,69350.0,Aylesbury Vale,E07000004
2008,70020.0,Aylesbury Vale,E07000004
2009,70610.0,Aylesbury Vale,E07000004
2010,71250.0,Aylesbury Vale,E07000004
2011,71880.0,Aylesbury Vale,E07000004
2012,72990.0,Aylesbury Vale,E07000004
2013,73920.0,Aylesbury Vale,E07000004
2014,74910.0,Aylesbury Vale,E07000004
2015,76330.0,Aylesbury Vale,E07000004
2016,77520.0,Aylesbury Vale,E07000004
2017,78469.0,Aylesbury Vale,E07000004
2018,79418.0,Aylesbury Vale,E07000004
2019,80367.0,Aylesbury Vale,E07000004
2020,81316.0,Aylesbury Vale,E07000004
2021,82265.0,Aylesbury Vale,E07000004
2022,83214.0,Aylesbury Vale,E07000004
2023,84163.0,Aylesbury Vale,E07000004
2024,85112.0,Aylesbury Vale,E07000004
2025,86061.0,Aylesbury Vale,E07000004
2026,87010.0,Aylesbury Vale,E07000004
2027,87959.0,Aylesbury Vale,E07000004
2028,88908.0,Aylesbury Vale,E07000004
2029,89857.0,Aylesbury Vale,E07000004
2030,90806.0,Aylesbury Vale,E07000004
2031,91755.0,Aylesbury Vale,E07000004
2032,92704.0,Aylesbury Vale,E07000004
2033,93653.0,Aylesbury Vale,E07000004
2034,94602.0,Aylesbury Vale,E07000004
2035,95551.0,Aylesbury Vale,E07000004
2036,96500.0,Aylesbury Vale,E07000004
2037,97449.0,Aylesbury Vale,E07000004
2038,98398.0,Aylesbury Vale,E07000004
2039,99347.0,Aylesbury Vale,E07000004
2040,100296.0,Aylesbury Vale,E07000004
2041,101245.0,Aylesbury Vale,E07000004
2042,102194.0,Aylesbury Vale,E07000004
2043,103143.0,Aylesbury Vale,E07000004
2044,104092.0,Aylesbury Vale,E07000004
2045,105041.0,Aylesbury Vale,E07000004
2046,105990.0,Aylesbury Vale,E07000004
2047,106939.0,Aylesbury Vale,E07000004
2048,107888.0,Aylesbury Vale,E07000004
2049,108837.0,Aylesbury Vale,E07000004
2050,109786.0,Aylesbury Vale,E07000004
2004,66430.0,Wycombe,E07000007
2005,66700.0,Wycombe,E07000007
2006,67060.0,Wycombe,E07000007
2007,67730.0,Wycombe,E07000007
2008,68400.0,Wycombe,E07000007
2009,69080.0,Wycombe,E07000007
2010,69450.0,Wycombe,E07000007
2011,70090.0,Wycombe,E07000007
2012,70600.0,Wycombe,E07000007
2013,70820.0,Wycombe,E07000007
2014,71090.0,Wycombe,E07000007
2015,71520.0,Wycombe,E07000007
2016,71890.0,Wycombe,E07000007
2017,72385.0,Wycombe,E07000007
2018,72880.0,Wycombe,E07000007
2019,73375.0,Wycombe,E07000007
2020,73870.0,Wycombe,E07000007
2021,74365.0,Wycombe,E07000007
2022,74860.0,Wycombe,E07000007
2023,75355.0,Wycombe,E07000007
2024,75850.0,Wycombe,E07000007
2025,76345.0,Wycombe,E07000007
2026,76840.0,Wycombe,E07000007
2027,77335.0,Wycombe,E07000007
2028,77830.0,Wycombe,E07000007
2029,78325.0,Wycombe,E07000007
2030,78820.0,Wycombe,E07000007
2031,79315.0,Wycombe,E07000007
2032,79810.0,Wycombe,E07000007
2033,80305.0,Wycombe,E07000007
2034,80800.0,Wycombe,E07000007
2035,81295.0,Wycombe,E07000007
2036,81790.0,Wycombe,E07000007
2037,82285.0,Wycombe,E07000007
2038,82780.0,Wycombe,E07000007
2039,83275.0,Wycombe,E07000007
2040,83770.0,Wycombe,E07000007
2041,84265.0,Wycombe,E07000007
2042,84760.0,Wycombe,E07000007
2043,85255.0,Wycombe,E07000007
2044,85750.0,Wycombe,E07000007
2045,86245.0,Wycombe,E07000007
2046,86740.0,Wycombe,E07000007
2047,87235.0,Wycombe,E07000007
2048,87730.0,Wycombe,E07000007
2049,88225.0,Wycombe,E07000007
2050,88720.0,Wycombe,E07000007
2004,36890.0,Chiltern,E07000005
2005,37140.0,Chiltern,E07000005
2006,37410.0,Chiltern,E07000005
2007,37670.0,Chiltern,E07000005
2008,37900.0,Chiltern,E07000005
2009,38040.0,Chiltern,E07000005
2010,38160.0,Chiltern,E07000005
2011,38290.0,Chiltern,E07000005
2012,38460.0,Chiltern,E07000005
2013,38770.0,Chiltern,E07000005
2014,38930.0,Chiltern,E07000005
2015,39050.0,Chiltern,E07000005
2016,39220.0,Chiltern,E07000005
2017,39399.0,Chiltern,E07000005
2018,39578.0,Chiltern,E07000005
2019,39757.0,Chiltern,E07000005
2020,39936.0,Chiltern,E07000005
2021,40115.0,Chiltern,E07000005
2022,40294.0,Chiltern,E07000005
2023,40473.0,Chiltern,E07000005
2024,40652.0,Chiltern,E07000005
2025,40831.0,Chiltern,E07000005
2026,41010.0,Chiltern,E07000005
2027,41189.0,Chiltern,E07000005
2028,41368.0,Chiltern,E07000005
2029,41547.0,Chiltern,E07000005
2030,41726.0,Chiltern,E07000005
2031,41905.0,Chiltern,E07000005
2032,42084.0,Chiltern,E07000005
2033,42263.0,Chiltern,E07000005
2034,42442.0,Chiltern,E07000005
2035,42621.0,Chiltern,E07000005
2036,42800.0,Chiltern,E07000005
2037,42979.0,Chiltern,E07000005
2038,43158.0,Chiltern,E07000005
2039,43337.0,Chiltern,E07000005
2040,43516.0,Chiltern,E07000005
2041,43695.0,Chiltern,E07000005
2042,43874.0,Chiltern,E07000005
2043,44053.0,Chiltern,E07000005
2044,44232.0,Chiltern,E07000005
2045,44411.0,Chiltern,E07000005
2046,44590.0,Chiltern,E07000005
2047,44769.0,Chiltern,E07000005
2048,44948.0,Chiltern,E07000005
2049,45127.0,Chiltern,E07000005
2050,45306.0,Chiltern,E07000005
2004,26150.0,South Bucks,E07000006
2005,26360.0,South Bucks,E07000006
2006,26520.0,South Bucks,E07000006
2007,26760.0,South Bucks,E07000006
2008,27170.0,South Bucks,E07000006
2009,27400.0,South Bucks,E07000006
2010,27550.0,South Bucks,E07000006
2011,27710.0,South Bucks,E07000006
2012,27840.0,South Bucks,E07000006
2013,28060.0,South Bucks,E07000006
2014,28210.0,South Bucks,E07000006
2015,28350.0,South Bucks,E07000006
2016,28430.0,South Bucks,E07000006
2017,28654.0,South Bucks,E07000006
2018,28878.0,South Bucks,E07000006
2019,29102.0,South Bucks,E07000006
2020,29326.0,South Bucks,E07000006
2021,29550.0,South Bucks,E07000006
2022,29774.0,South Bucks,E07000006
2023,29998.0,South Bucks,E07000006
2024,30222.0,South Bucks,E07000006
2025,30446.0,South Bucks,E07000006
2026,30670.0,South Bucks,E07000006
2027,30894.0,South Bucks,E07000006
2028,31118.0,South Bucks,E07000006
2029,31342.0,South Bucks,E07000006
2030,31566.0,South Bucks,E07000006
2031,31790.0,South Bucks,E07000006
2032,32014.0,South Bucks,E07000006
2033,32238.0,South Bucks,E07000006
2034,32462.0,South Bucks,E07000006
2035,32686.0,South Bucks,E07000006
2036,32910.0,South Bucks,E07000006
2037,33134.0,South Bucks,E07000006
2038,33358.0,South Bucks,E07000006
2039,33582.0,South Bucks,E07000006
2040,33806.0,South Bucks,E07000006
2041,34030.0,South Bucks,E07000006
2042,34254.0,South Bucks,E07000006
2043,34478.0,South Bucks,E07000006
2044,34702.0,South Bucks,E07000006
2045,34926.0,South Bucks,E07000006
2046,35150.0,South Bucks,E07000006
2047,35374.0,South Bucks,E07000006
2048,35598.0,South Bucks,E07000006
2049,35822.0,South Bucks,E07000006
2050,36046.0,South Bucks,E07000006
2004,61100.0,Bedford,E06000055
2005,62600.0,Bedford,E06000055
2006,61600.0,Bedford,E06000055
2007,62300.0,Bedford,E06000055
2008,62900.0,Bedford,E06000055
2009,64500.0,Bedford,E06000055
2010,66660.0,Bedford,E06000055
2011,67330.0,Bedford,E06000055
2012,68250.0,Bedford,E06000055
2013,68910.0,Bedford,E06000055
2014,69900.0,Bedford,E06000055
2015,70730.0,Bedford,E06000055
2016,71700.0,Bedford,E06000055
2017,72492.0,Bedford,E06000055
2018,73284.0,Bedford,E06000055
2019,74076.0,Bedford,E06000055
2020,74868.0,Bedford,E06000055
2021,75660.0,Bedford,E06000055
2022,76452.0,Bedford,E06000055
2023,77244.0,Bedford,E06000055
2024,78036.0,Bedford,E06000055
2025,78828.0,Bedford,E06000055
2026,79620.0,Bedford,E06000055
2027,80412.0,Bedford,E06000055
2028,81204.0,Bedford,E06000055
2029,81996.0,Bedford,E06000055
2030,82788.0,Bedford,E06000055
2031,83580.0,Bedford,E06000055
2032,84372.0,Bedford,E06000055
2033,85164.0,Bedford,E06000055
2034,85956.0,Bedford,E06000055
2035,86748.0,Bedford,E06000055
2036,87540.0,Bedford,E06000055
2037,88332.0,Bedford,E06000055
2038,89124.0,Bedford,E06000055
2039,89916.0,Bedford,E06000055
2040,90708.0,Bedford,E06000055
2041,91500.0,Bedford,E06000055
2042,92292.0,Bedford,E06000055
2043,93084.0,Bedford,E06000055
2044,93876.0,Bedford,E06000055
2045,94668.0,Bedford,E06000055
2046,95460.0,Bedford,E06000055
2047,96252.0,Bedford,E06000055
2048,97044.0,Bedford,E06000055
2049,97836.0,Bedford,E06000055
2050,98628.0,Bedford,E06000055
2004,99900.0,Central Bedfordshire,E06000056
2005,105600.0,Central Bedfordshire,E06000056
2006,102200.0,Central Bedfordshire,E06000056
2007,99800.0,Central Bedfordshire,E06000056
2008,100000.0,Central Bedfordshire,E06000056
2009,96000.0,Central Bedfordshire,E06000056
2010,107410.0,Central Bedfordshire,E06000056
2011,108690.0,Central Bedfordshire,E06000056
2012,109990.0,Central Bedfordshire,E06000056
2013,110960.0,Central Bedfordshire,E06000056
2014,112220.0,Central Bedfordshire,E06000056
2015,113740.0,Central Bedfordshire,E06000056
2016,115370.0,Central Bedfordshire,E06000056
2017,116660.0,Central Bedfordshire,E06000056
2018,117950.0,Central Bedfordshire,E06000056
2019,119240.0,Central Bedfordshire,E06000056
2020,120530.0,Central Bedfordshire,E06000056
2021,121820.0,Central Bedfordshire,E06000056
2022,123110.0,Central Bedfordshire,E06000056
2023,124400.0,Central Bedfordshire,E06000056
2024,125690.0,Central Bedfordshire,E06000056
2025,126980.0,Central Bedfordshire,E06000056
2026,128270.0,Central Bedfordshire,E06000056
2027,129560.0,Central Bedfordshire,E06000056
2028,130850.0,Central Bedfordshire,E06000056
2029,132140.0,Central Bedfordshire,E06000056
2030,133430.0,Central Bedfordshire,E06000056
2031,134720.0,Central Bedfordshire,E06000056
2032,136010.0,Central Bedfordshire,E06000056
2033,137300.0,Central Bedfordshire,E06000056
2034,138590.0,Central Bedfordshire,E06000056
2035,139880.0,Central Bedfordshire,E06000056
2036,141170.0,Central Bedfordshire,E06000056
2037,142460.0,Central Bedfordshire,E06000056
2038,143750.0,Central Bedfordshire,E06000056
2039,145040.0,Central Bedfordshire,E06000056
2040,146330.0,Central Bedfordshire,E06000056
2041,147620.0,Central Bedfordshire,E06000056
2042,148910.0,Central Bedfordshire,E06000056
2043,150200.0,Central Bedfordshire,E06000056
2044,151490.0,Central Bedfordshire,E06000056
2045,152780.0,Central Bedfordshire,E06000056
2046,154070.0,Central Bedfordshire,E06000056
2047,155360.0,Central Bedfordshire,E06000056
2048,156650.0,Central Bedfordshire,E06000056
2049,157940.0,Central Bedfordshire,E06000056
2050,159230.0,Central Bedfordshire,E06000056
2004,31010.0,Daventry,E07000151
2005,31250.0,Daventry,E07000151
2006,31580.0,Daventry,E07000151
2007,31840.0,Daventry,E07000151
2008,32150.0,Daventry,E07000151
2009,32320.0,Daventry,E07000151
2010,32480.0,Daventry,E07000151
2011,32620.0,Daventry,E07000151
2012,32760.0,Daventry,E07000151
2013,32880.0,Daventry,E07000151
2014,33110.0,Daventry,E07000151
2015,33500.0,Daventry,E07000151
2016,34070.0,Daventry,E07000151
2017,34350.0,Daventry,E07000151
2018,34630.0,Daventry,E07000151
2019,34910.0,Daventry,E07000151
2020,35190.0,Daventry,E07000151
2021,35470.0,Daventry,E07000151
2022,35750.0,Daventry,E07000151
2023,36030.0,Daventry,E07000151
2024,36310.0,Daventry,E07000151
2025,36590.0,Daventry,E07000151
2026,36870.0,Daventry,E07000151
2027,37150.0,Daventry,E07000151
