YEAR,GEOGRAPHY_CODE,HOUSEHOLDS
2029,E07000012,3068
2029,E07000150,0
2029,E07000151,0
2029,E07000152,0
2029,E07000153,0
2029,E07000154,0
2029,E07000155,0
2029,E07000156,0
2029,E07000177,3068
2029,E07000178,0
2029,E07000179,0
2029,E07000180,0
2029,E07000181,0
2030,E06000031,0
2030,E06000032,0
2030,E06000042,0
2030,E06000055,0
2030,E06000056,6136
2030,E07000004,3068
2030,E07000005,0
2030,E07000006,0
2030,E07000007,0
2030,E07000008,0
2030,E07000009,0
2030,E07000010,0
2030,E07000011,0
2030,E07000012,3068
2030,E07000150,0
2030,E07000151,0
2030,E07000152,0
2030,E07000153,0
2030,E07000154,0
2030,E07000155,0
2030,E07000156,0
2030,E07000177,3068
2030,E07000178,0
2030,E07000179,0
2030,E07000180,0
2030,E07000181,0
2031,E06000031,0
2031,E06000032,0
2031,E06000042,0
2031,E06000055,0
2031,E06000056,6136
2031,E07000004,3068
2031,E07000005,0
2031,E07000006,0
2031,E07000007,0
2031,E07000008,0
2031,E07000009,0
2031,E07000010,0
2031,E07000011,0
2031,E07000012,3068
2031,E07000150,0
2031,E07000151,0
2031,E07000152,0
2031,E07000153,0
2031,E07000154,0
2031,E07000155,0
2031,E07000156,0
2031,E07000177,3068
2031,E07000178,0
2031,E07000179,0
2031,E07000180,0
2031,E07000181,0
2032,E06000031,0
2032,E06000032,0
2032,E06000042,0
2032,E06000055,0
2032,E06000056,6136
2032,E07000004,3068
2032,E07000005,0
2032,E07000006,0
2032,E07000007,0
2032,E07000008,0
2032,E07000009,0
2032,E07000010,0
2032,E07000011,0
2032,E07000012,3068
2032,E07000150,0
2032,E07000151,0
2032,E07000152,0
2032,E07000153,0
2032,E07000154,0
2032,E07000155,0
2032,E07000156,0
2032,E07000177,3068
2032,E07000178,0
2032,E07000179,0
2032,E07000180,0
2032,E07000181,0
2033,E06000031,0
2033,E06000032,0
2033,E06000042,0
2033,E06000055,0
2033,E06000056,6136
2033,E07000004,3068
2033,E07000005,0
2033,E07000006,0
2033,E07000007,0
2033,E07000008,0
2033,E07000009,0
2033,E07000010,0
2033,E07000011,0
2033,E07000012,3068
2033,E07000150,0
2033,E07000151,0
2033,E07000152,0
2033,E07000153,0
2033,E07000154,0
2033,E07000155,0
2033,E07000156,0
2033,E07000177,3068
2033,E07000178,0
2033,E07000179,0
2033,E07000180,0
2033,E07000181,0
2034,E06000031,0
2034,E06000032,0
2034,E06000042,0
2034,E06000055,0
2034,E06000056,6136
2034,E07000004,3068
2034,E07000005,0
2034,E07000006,0
2034,E07000007,0
2034,E07000008,0
2034,E07000009,0
2034,E07000010,0
2034,E07000011,0
2034,E07000012,3068
2034,E07000150,0
2034,E07000151,0
2034,E07000152,0
2034,E07000153,0
2034,E07000154,0
2034,E07000155,0
2034,E07000156,0
2034,E07000177,3068
2034,E07000178,0
2034,E07000179,0
2034,E07000180,0
2034,E07000181,0
2035,E06000031,0
2035,E06000032,0
2035,E06000042,0
2035,E06000055,0
2035,E06000056,6136
2035,E07000004,3068
2035,E07000005,0
2035,E07000006,0
2035,E07000007,0
2035,E07000008,0
2035,E07000009,0
2035,E07000010,0
2035,E07000011,0
2035,E07000012,3068
2035,E07000150,0
2035,E07000151,0
2035,E07000152,0
2035,E07000153,0
2035,E07000154,0
2035,E07000155,0
2035,E07000156,0
2035,E07000177,3068
2035,E07000178,0
2035,E07000179,0
2035,E07000180,0
2035,E07000181,0
2036,E06000031,0
2036,E06000032,0
2036,E06000042,0
2036,E06000055,0
2036,E06000056,6136
2036,E07000004,3068
2036,E07000005,0
2036,E07000006,0
2036,E07000007,0
2036,E07000008,0
2036,E07000009,0
2036,E07000010,0
2036,E07000011,0
2036,E07000012,3068
2036,E07000150,0
2036,E07000151,0
2036,E07000152,0
2036,E07000153,0
2036,E07000154,0
2036,E07000155,0
2036,E07000156,0
2036,E07000177,3068
2036,E07000178,0
2036,E07000179,0
2036,E07000180,0
2036,E07000181,0
2037,E06000031,0
2037,E06000032,0
2037,E06000042,0
2037,E06000055,0
2037,E06000056,6136
2037,E07000004,3068
2037,E07000005,0
2037,E07000006,0
2037,E07000007,0
2037,E07000008,0
2037,E07000009,0
2037,E07000010,0
2037,E07000011,0
2037,E07000012,3068
2037,E07000150,0
2037,E07000151,0
2037,E07000152,0
2037,E07000153,0
2037,E07000154,0
2037,E07000155,0
2037,E07000156,0
2037,E07000177,3068
2037,E07000178,0
2037,E07000179,0
2037,E07000180,0
2037,E07000181,0
2038,E06000031,0
2038,E06000032,0
2038,E06000042,0
2038,E06000055,0
2038,E06000056,6136
2038,E07000004,3068
2038,E07000005,0
2038,E07000006,0
2038,E07000007,0
2038,E07000008,0
2038,E07000009,0
2038,E07000010,0
2038,E07000011,0
2038,E07000012,3068
2038,E07000150,0
2038,E07000151,0
2038,E07000152,0
2038,E07000153,0
2038,E07000154,0
2038,E07000155,0
2038,E07000156,0
2038,E07000177,3068
2038,E07000178,0
2038,E07000179,0
2038,E07000180,0
2038,E07000181,0
2039,E06000031,0
2039,E06000032,0
2039,E06000042,0
2039,E06000055,0
2039,E06000056,6136
2039,E07000004,3068
2039,E07000005,0
2039,E07000006,0
2039,E07000007,0
2039,E07000008,0
2039,E07000009,0
2039,E07000010,0
2039,E07000011,0
2039,E07000012,3068
2039,E07000150,0
2039,E07000151,0
2039,E07000152,0
2039,E07000153,0
2039,E07000154,0
2039,E07000155,0
2039,E07000156,0
2039,E07000177,3068
2039,E07000178,0
2039,E07000179,0
2039,E07000180,0
2039,E07000181,0
2040,E06000031,0
2040,E06000032,0
2040,E06000042,0
2040,E06000055,0
2040,E06000056,6136
2040,E07000004,3068
2040,E07000005,0
2040,E07000006,0
2040,E07000007,0
2040,E07000008,0
2040,E07000009,0
2040,E07000010,0
2040,E07000011,0
2040,E07000012,3068
2040,E07000150,0
2040,E07000151,0
2040,E07000152,0
2040,E07000153,0
2040,E07000154,0
2040,E07000155,0
2040,E07000156,0
2040,E07000177,3068
2040,E07000178,0
2040,E07000179,0
2040,E07000180,0
2040,E07000181,0
2041,E06000031,0
2041,E06000032,0
2041,E06000042,0
2041,E06000055,0
2041,E06000056,6136
2041,E07000004,3068
2041,E07000005,0
2041,E07000006,0
2041,E07000007,0
2041,E07000008,0
2041,E07000009,0
2041,E07000010,0
2041,E07000011,0
2041,E07000012,3068
2041,E07000150,0
2041,E07000151,0
2041,E07000152,0
2041,E07000153,0
2041,E07000154,0
2041,E07000155,0
2041,E07000156,0
2041,E07000177,3068
2041,E07000178,0
2041,E07000179,0
2041,E07000180,0
2041,E07000181,0
2042,E06000031,0
2042,E06000032,0
2042,E06000042,0
2042,E06000055,0
2042,E06000056,6136
2042,E07000004,3068
2042,E07000005,0
2042,E07000006,0
2042,E07000007,0
2042,E07000008,0
2042,E07000009,0
2042,E07000010,0
2042,E07000011,0
2042,E07000012,3068
2042,E07000150,0
2042,E07000151,0
2042,E07000152,0
2042,E07000153,0
2042,E07000154,0
2042,E07000155,0
2042,E07000156,0
2042,E07000177,3068
2042,E07000178,0
2042,E07000179,0
2042,E07000180,0
2042,E07000181,0
2043,E06000031,0
2043,E06000032,0
2043,E06000042,0
2043,E06000055,0
2043,E06000056,6136
2043,E07000004,3068
2043,E07000005,0
2043,E07000006,0
2043,E07000007,0
2043,E07000008,0
2043,E07000009,0
2043,E07000010,0
2043,E07000011,0
2043,E07000012,3068
2043,E07000150,0
2043,E07000151,0
2043,E07000152,0
2043,E07000153,0
2043,E07000154,0
2043,E07000155,0
2043,E07000156,0
2043,E07000177,3068
2043,E07000178,0
2043,E07000179,0
2043,E07000180,0
2043,E07000181,0
2044,E06000031,0
2044,E06000032,0
2044,E06000042,0
2044,E06000055,0
2044,E06000056,6136
2044,E07000004,3068
2044,E07000005,0
2044,E07000006,0
2044,E07000007,0
2044,E07000008,0
2044,E07000009,0
2044,E07000010,0
2044,E07000011,0
2044,E07000012,3068
2044,E07000150,0
2044,E07000151,0
2044,E07000152,0
2044,E07000153,0
2044,E07000154,0
2044,E07000155,0
2044,E07000156,0
2044,E07000177,3068
2044,E07000178,0
2044,E07000179,0
2044,E07000180,0
2044,E07000181,0
2045,E06000031,0
2045,E06000032,0
2045,E06000042,0
2045,E06000055,0
2045,E06000056,6136
2045,E07000004,3068
2045,E07000005,0
2045,E07000006,0
2045,E07000007,0
2045,E07000008,0
2045,E07000009,0
2045,E07000010,0
2045,E07000011,0
2045,E07000012,3068
2045,E07000150,0
2045,E07000151,0
2045,E07000152,0
2045,E07000153,0
2045,E07000154,0
2045,E07000155,0
2045,E07000156,0
2045,E07000177,3068
2045,E07000178,0
2045,E07000179,0
2045,E07000180,0
2045,E07000181,0
2046,E06000031,0
2046,E06000032,0
2046,E06000042,0
2046,E06000055,0
2046,E06000056,6136
2046,E07000004,3068
2046,E07000005,0
2046,E07000006,0
2046,E07000007,0
2046,E07000008,0
2046,E07000009,0
2046,E07000010,0
2046,E07000011,0
2046,E07000012,3068
2046,E07000150,0
2046,E07000151,0
2046,E07000152,0
2046,E07000153,0
2046,E07000154,0
2046,E07000155,0
2046,E07000156,0
2046,E07000177,3068
2046,E07000178,0
2046,E07000179,0
2046,E07000180,0
2046,E07000181,0
2047,E06000031,0
2047,E06000032,0
2047,E06000042,0
2047,E06000055,0
2047,E06000056,6136
2047,E07000004,3068
2047,E07000005,0
2047,E07000006,0
2047,E07000007,0
2047,E07000008,0
2047,E07000009,0
2047,E07000010,0
2047,E07000011,0
2047,E07000012,3068
2047,E07000150,0
2047,E07000151,0
2047,E07000152,0
2047,E07000153,0
2047,E07000154,0
2047,E07000155,0
2047,E07000156,0
2047,E07000177,3068
2047,E07000178,0
2047,E07000179,0
2047,E07000180,0
2047,E07000181,0
2048,E06000031,0
2048,E06000032,0
2048,E06000042,0
2048,E06000055,0
2048,E06000056,6136
2048,E07000004,3068
2048,E07000005,0
2048,E07000006,0
2048,E07000007,0
2048,E07000008,0
2048,E07000009,0
2048,E07000010,0
2048,E07000011,0
2048,E07000012,3068
2048,E07000150,0
2048,E07000151,0
2048,E07000152,0
2048,E07000153,0
2048,E07000154,0
2048,E07000155,0
2048,E07000156,0
2048,E07000177,3068
2048,E07000178,0
2048,E07000179,0
2048,E07000180,0
2048,E07000181,0
2049,E06000031,0
2049,E06000032,0
2049,E06000042,0
2049,E06000055,0
2049,E06000056,6136
2049,E07000004,3068
2049,E07000005,0
2049,E07000006,0
2049,E07000007,0
2049,E07000008,0
2049,E07000009,0
2049,E07000010,0
2049,E07000011,0
2049,E07000012,3068
2049,E07000150,0
2049,E07000151,0
2049,E07000152,0
2049,E07000153,0
2049,E07000154,0
2049,E07000155,0
