YEAR,GEOGRAPHY_CODE,HOUSEHOLDS
2031,E06000032,1334
2031,E06000042,2502
2031,E06000055,1084
2031,E06000056,0
2031,E07000004,0
2031,E07000005,0
2031,E07000006,0
2031,E07000007,0
2031,E07000008,834
2031,E07000009,0
2031,E07000010,0
2031,E07000011,0
2031,E07000012,500
2031,E07000150,0
2031,E07000151,0
2031,E07000152,0
2031,E07000153,0
2031,E07000154,834
2031,E07000155,0
2031,E07000156,0
2031,E07000177,0
2031,E07000178,834
2031,E07000179,0
2031,E07000180,0
2031,E07000181,0
2032,E06000031,417
2032,E06000032,1334
2032,E06000042,2502
2032,E06000055,1084
2032,E06000056,0
2032,E07000004,0
2032,E07000005,0
2032,E07000006,0
2032,E07000007,0
2032,E07000008,834
2032,E07000009,0
2032,E07000010,0
2032,E07000011,0
2032,E07000012,500
2032,E07000150,0
2032,E07000151,0
2032,E07000152,0
2032,E07000153,0
2032,E07000154,834
2032,E07000155,0
2032,E07000156,0
2032,E07000177,0
2032,E07000178,834
2032,E07000179,0
2032,E07000180,0
2032,E07000181,0
2033,E06000031,417
2033,E06000032,1334
2033,E06000042,2502
2033,E06000055,1084
2033,E06000056,0
2033,E07000004,0
2033,E07000005,0
2033,E07000006,0
2033,E07000007,0
2033,E07000008,834
2033,E07000009,0
2033,E07000010,0
2033,E07000011,0
2033,E07000012,500
2033,E07000150,0
2033,E07000151,0
2033,E07000152,0
2033,E07000153,0
2033,E07000154,834
2033,E07000155,0
2033,E07000156,0
2033,E07000177,0
2033,E07000178,834
2033,E07000179,0
2033,E07000180,0
2033,E07000181,0
2034,E06000031,417
2034,E06000032,1334
2034,E06000042,2502
2034,E06000055,1084
2034,E06000056,0
2034,E07000004,0
2034,E07000005,0
2034,E07000006,0
2034,E07000007,0
2034,E07000008,834
2034,E07000009,0
2034,E07000010,0
2034,E07000011,0
2034,E07000012,500
2034,E07000150,0
2034,E07000151,0
2034,E07000152,0
2034,E07000153,0
2034,E07000154,834
2034,E07000155,0
2034,E07000156,0
2034,E07000177,0
2034,E07000178,834
2034,E07000179,0
2034,E07000180,0
2034,E07000181,0
2035,E06000031,417
2035,E06000032,1334
2035,E06000042,2502
2035,E06000055,1084
2035,E06000056,0
2035,E07000004,0
2035,E07000005,0
2035,E07000006,0
2035,E07000007,0
2035,E07000008,834
2035,E07000009,0
2035,E07000010,0
2035,E07000011,0
2035,E07000012,500
2035,E07000150,0
2035,E07000151,0
2035,E07000152,0
2035,E07000153,0
2035,E07000154,834
2035,E07000155,0
2035,E07000156,0
2035,E07000177,0
2035,E07000178,834
2035,E07000179,0
2035,E07000180,0
2035,E07000181,0
2036,E06000031,417
2036,E06000032,1334
2036,E06000042,2502
2036,E06000055,1084
2036,E06000056,0
2036,E07000004,0
2036,E07000005,0
2036,E07000006,0
2036,E07000007,0
2036,E07000008,834
2036,E07000009,0
2036,E07000010,0
2036,E07000011,0
2036,E07000012,500
2036,E07000150,0
2036,E07000151,0
2036,E07000152,0
2036,E07000153,0
2036,E07000154,834
2036,E07000155,0
2036,E07000156,0
2036,E07000177,0
2036,E07000178,834
2036,E07000179,0
2036,E07000180,0
2036,E07000181,0
2037,E06000031,417
2037,E06000032,1334
2037,E06000042,2502
2037,E06000055,1084
2037,E06000056,0
2037,E07000004,0
2037,E07000005,0
2037,E07000006,0
2037,E07000007,0
2037,E07000008,834
2037,E07000009,0
2037,E07000010,0
