YEAR,GEOGRAPHY_CODE,HOUSEHOLDS
2030,E06000056,5623
2030,E07000004,2660
2030,E07000005,-90
2030,E07000006,-112
2030,E07000007,-248
2030,E07000008,-337
2030,E07000009,-151
2030,E07000010,-196
2030,E07000011,-336
2030,E07000012,2765
2030,E07000150,-208
2030,E07000151,-140
2030,E07000152,-176
2030,E07000153,-242
2030,E07000154,-325
2030,E07000155,-160
2030,E07000156,-122
2030,E07000177,2849
2030,E07000178,-137
2030,E07000179,-234
2030,E07000180,-320
2030,E07000181,-204
2031,E06000031,-479
2031,E06000032,-199
2031,E06000042,-748
2031,E06000055,-396
2031,E06000056,5623
2031,E07000004,2660
2031,E07000005,-90
2031,E07000006,-112
2031,E07000007,-248
2031,E07000008,-337
2031,E07000009,-151
2031,E07000010,-196
2031,E07000011,-336
2031,E07000012,2765
2031,E07000150,-208
2031,E07000151,-140
2031,E07000152,-176
2031,E07000153,-242
2031,E07000154,-325
2031,E07000155,-160
2031,E07000156,-122
2031,E07000177,2849
2031,E07000178,-137
2031,E07000179,-234
2031,E07000180,-320
2031,E07000181,-204
2032,E06000031,-479
2032,E06000032,-199
2032,E06000042,-748
2032,E06000055,-396
2032,E06000056,5623
2032,E07000004,2660
2032,E07000005,-90
2032,E07000006,-112
2032,E07000007,-248
2032,E07000008,-337
2032,E07000009,-151
2032,E07000010,-196
2032,E07000011,-336
2032,E07000012,2765
2032,E07000150,-208
2032,E07000151,-140
2032,E07000152,-176
2032,E07000153,-242
2032,E07000154,-325
2032,E07000155,-160
2032,E07000156,-122
2032,E07000177,2849
2032,E07000178,-137
2032,E07000179,-234
2032,E07000180,-320
2032,E07000181,-204
2033,E06000031,-479
2033,E06000032,-199
2033,E06000042,-748
2033,E06000055,-396
2033,E06000056,5623
2033,E07000004,2660
2033,E07000005,-90
2033,E07000006,-112
2033,E07000007,-248
2033,E07000008,-337
2033,E07000009,-151
2033,E07000010,-196
2033,E07000011,-336
2033,E07000012,2765
2033,E07000150,-208
2033,E07000151,-140
2033,E07000152,-176
2033,E07000153,-242
2033,E07000154,-325
2033,E07000155,-160
2033,E07000156,-122
2033,E07000177,2849
2033,E07000178,-137
2033,E07000179,-234
2033,E07000180,-320
2033,E07000181,-204
2034,E06000031,-479
2034,E06000032,-199
2034,E06000042,-748
2034,E06000055,-396
2034,E06000056,5623
2034,E07000004,2660
2034,E07000005,-90
2034,E07000006,-112
2034,E07000007,-248
2034,E07000008,-337
2034,E07000009,-151
2034,E07000010,-196
2034,E07000011,-336
2034,E07000012,2765
2034,E07000150,-208
2034,E07000151,-140
2034,E07000152,-176
2034,E07000153,-242
2034,E07000154,-325
2034,E07000155,-160
2034,E07000156,-122
2034,E07000177,2849
2034,E07000178,-137
2034,E07000179,-234
2034,E07000180,-320
2034,E07000181,-204
2035,E06000031,-479
2035,E06000032,-199
2035,E06000042,-748
2035,E06000055,-396
2035,E06000056,5623
