YEAR,GEOGRAPHY_CODE,GVA,JOBS,HOUSEHOLDS
2020,E07000008,226.17883772913956,3.342956961233199,58.2132332823761
2021,E07000008,288.6321487150353,4.157660929535922,60.233381262284205
2022,E07000008,353.04812632449284,4.960704539883551,7.34984511902243
2023,E07000008,419.3212873570528,5.751422426539378,-5.45269412535462
2024,E07000008,487.8622004976878,6.536155312952076,-20.4523833151338
2025,E07000008,562.5167603910131,7.387250129732763,-23.426533129506197
2026,E07000008,642.6897390450686,8.28406013499675,-32.507121554924694
2027,E07000008,728.1886998991722,9.24594503711991,-40.776343306397
2028,E07000008,818.7052741338657,10.247271119957233,-44.9610832059402
2029,E07000008,913.2387279599243,11.268411370575492,-45.29415697750711
2030,E07000008,1010.9277916570563,12.29274560955001,-42.9194882725491
2031,E07000008,1119.7364575521233,13.445660623878297,-48.02308801048039
2032,E07000008,1230.610730685,14.569550302564792,-51.482507447044
2033,E07000008,1347.1490888789303,15.725815774929373,-42.78253784669221
2034,E07000008,1469.3017131645393,16.909865551697706,-39.9654934265127
2035,E07000008,1597.274132294041,18.119115668928075,-39.7213082332391
2036,E07000008,1731.0836196510481,19.350989834834195,-41.4375813059605
2037,E07000008,1870.9483612603817,20.60491957956191,-38.3717005459697
2038,E07000008,2017.3441153740578,21.885344407981563,-38.7592960908486
2039,E07000008,2170.2590958821993,23.18771195555661,-36.0308818519333
2040,E07000008,2329.921569683632,24.51247814735123,-35.865766149814206
2041,E07000008,2496.917571395952,25.865107360242504,-36.6430244158116
2042,E07000008,2670.9944000436535,27.239072588401086,-36.6430244158116
2043,E07000008,2852.6554001683153,28.636855612108093,-36.6430244158116
2044,E07000008,3042.3281238554146,30.06194716997645,-36.6430244158116
2045,E07000008,3240.781804215295,31.520847134645905,-36.6430244158116
2046,E07000008,3447.8219464105605,33.00606469202336,-36.6430244158116
2047,E07000008,3663.8404558666034,34.51911852414058,-36.6430244158116
2048,E07000008,3889.251126056992,36.061536995703605,-36.6430244158116
2049,E07000008,4124.324127192616,37.63185834440917,-36.6430244158116
2050,E07000008,4369.2364503420395,39.22863087510616,-36.6430244158116
2020,E07000012,303.3188244485882,4.451561314792002,4456.94420248963
2021,E07000012,416.5068500306088,5.928944184243505,4419.320109150471
2022,E07000012,535.7567837714978,7.426199420627,4519.56555990391
2023,E07000012,662.6688174947549,8.968889268606645,4509.69324297882
2024,E07000012,797.0190502269297,10.546628775056561,4507.003006901071
2025,E07000012,941.5844047660057,12.20408762545479,4488.51967355318
2026,E07000012,1093.7362500637,13.879992044786064,4482.20412714567
2027,E07000012,1259.806075412468,15.69512676522811,4493.14588477834
2028,E07000012,1437.4745345064512,17.590337062975095,4488.74376837738
2029,E07000012,1625.8452719784564,19.54253086663489,4472.78297143481
2030,E07000012,1824.0146761285787,21.53068093972435,4459.60498130596
2031,E07000012,2037.3059865537953,23.613827139873862,4462.9763519545795
2032,E07000012,2261.125541795089,25.725078757446155,4458.03851391134
2033,E07000012,2498.878446562634,27.909616936368593,4450.7259425638895
2034,E07000012,2751.366377952456,30.169697180078487,4435.98032225377
2035,E07000012,3019.242306202592,32.502651945581135,4426.60031626993
2036,E07000012,3303.3453565247664,34.910893328728775,4432.98000974012
2037,E07000012,3604.3610235968963,37.3939158439357,4414.18143201573
2038,E07000012,3923.468282019365,39.95729930166051,4412.753853024679
2039,E07000012,4261.2201050884105,42.59871178710242,4399.722632408821
2040,E07000012,4618.414539718216,45.31791274368088,4386.0430936449
2041,E07000012,4996.374481503531,48.12175616499435,4396.97483839266
2042,E07000012,5395.57999937002,51.00519389908281,4396.97483839266
2043,E07000012,5817.482753593744,53.97527906895547,4396.97483839266
2044,E07000012,6263.416222324622,57.03616961348348,4396.97483839266
2045,E07000012,6735.260891410907,60.198131952903566,4396.97483839266
2046,E07000012,7233.806633785031,63.45654478332638,4396.97483839266
2047,E07000012,7760.6255194688965,66.8169030048011,4396.97483839266
2048,E07000012,8317.379129289338,70.28282178764562,4396.97483839266
2049,E07000012,8905.607069783142,73.85804078192031,4396.97483839266
2050,E07000012,9526.91183242071,77.54442847509382,4396.97483839266
2020,E07000009,72.33350144250244,1.4441184567747953,-89.7071800829893
2021,E07000009,100.1072324996253,1.9257342957782484,-80.91289556671529
2022,E07000009,128.3487432718382,2.395608597519626,-88.2485288490963
2023,E07000009,157.57861292265784,2.8659943402462957,-82.9852397466702
2024,E07000009,187.8706618945937,3.337150296712146,-82.09997152216341
2025,E07000009,220.76771690131113,3.8413411775479744,-78.1436545970777
2026,E07000009,254.2078510297356,4.331837778357041,-72.72558567372809
2027,E07000009,290.6549446445806,4.862917130635573,-78.0651018999757
2028,E07000009,329.5027821227677,5.417862656620365,-76.5676911115963
2029,E07000009,369.7871454910123,5.977964328168461,-74.45116103953029
2030,E07000009,410.6847159103222,6.527518829776923,-70.98269770692241
2031,E07000009,455.8736298804788,7.127829725853388,-69.1609986459913
2032,E07000009,502.2306698511902,7.725207632351307,-69.8945878139338
2033,E07000009,551.2088985225041,8.343970392886618,-70.0297294605799
2034,E07000009,602.813310076936,8.982443259456183,-64.76592356409991
2035,E07000009,657.0603373682497,9.63695907788118,-63.215799781608105
2036,E07000009,713.960203332063,10.305858478101968,-64.0537813496404
2037,E07000009,773.4673270003282,10.98749006945512,-60.411416815900004
2038,E07000009,835.8548005157863,11.684210641065619,-61.484798078183005
2039,E07000009,900.8717733493149,12.391385367492035,-59.315296614979495
2040,E07000009,968.7157475711592,13.11038801976543,-57.7853278008311
2041,E07000009,1039.4197916547619,13.840601181967202,-60.5269202882739
2042,E07000009,1112.9806351280636,14.581416473494144,-60.5269202882739
2043,E07000009,1189.495762243264,15.33223477716436,-60.5269202882739
2044,E07000009,1269.2002853635813,16.095466473320236,-60.5269202882739
2045,E07000009,1352.4476074860618,16.87453168009047,-60.5269202882739
2046,E07000009,1439.1317552394107,17.665860499976496,-60.5269202882739
2047,E07000009,1529.3126445990015,18.46989327293349,-60.5269202882739
2048,E07000009,1623.3488769481582,19.289080836121045,-60.5269202882739
2049,E07000009,1721.3169115115816,20.122884790502987,-60.5269202882739
2050,E07000009,1823.2682480959024,20.970777774480702,-60.5269202882739
2020,E07000011,131.59947577489402,2.2910311755210273,4456.94420248963
2021,E07000011,173.9990667456168,2.9369624827324117,4419.320109150471
2022,E07000011,216.18809859215253,3.5479779749779254,4519.56555990391
2023,E07000011,259.4726301244127,4.152293558514472,4509.69324297882
2024,E07000011,304.36539369009097,4.758128457235415,4507.003006901071
2025,E07000011,353.9385427694624,5.424705267053312,4488.51967355318
2026,E07000011,403.9247288547258,6.060250011221541,4482.20412714567
2027,E07000011,458.5689555690615,6.756992196611293,4493.14588477834
2028,E07000011,517.3870115742411,7.499164870962048,4488.74376837738
2029,E07000011,578.4478731034569,8.248004681121557,4472.78297143481
2030,E07000011,640.6622873633551,8.984751932295055,4459.60498130596
2031,E07000011,711.195361991232,9.8266506483195,4462.9763519545795
2032,E07000011,782.5940662092498,10.64494863298357,4458.03851391134
2033,E07000011,857.9313698242058,11.491897532410078,4450.7259425638895
2034,E07000011,937.4777925795215,12.368752898521848,4435.98032225377
2035,E07000011,1020.8186939641009,13.264774253608849,4426.60031626993
2036,E07000011,1108.0424063520377,14.179225156017921,4432.98000974012
2037,E07000011,1199.0915827313847,15.108373266983861,4414.18143201573
2038,E07000011,1294.0264471845103,16.05149041862387,4412.753853024679
2039,E07000011,1392.6030640022345,17.00385268311473,4399.722632408821
2040,E07000011,1494.8986968582922,17.963740443075707,4386.0430936449
2041,E07000011,1601.022411551473,18.93243846317759,4396.97483839266
2042,E07000011,1710.7469480334075,19.905235963000877,4396.97483839266
2043,E07000011,1824.3183009943205,20.88442669116499,4396.97483839266
2044,E07000011,1941.87190006963,21.870309000751874,4396.97483839266
2045,E07000011,2063.795682468194,22.866185926047237,4396.97483839266
2046,E07000011,2190.1054702348447,23.870365260623487,4396.97483839266
